Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1961","1961","ha","11168641","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1961","1961","100 g/ha","13463","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1961","1961","t","15036353","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1962","1962","ha","11522315","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1962","1962","100 g/ha","13815","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1962","1962","t","15918336","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1963","1963","ha","12565288","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1963","1963","100 g/ha","13224","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1963","1963","t","16616892","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1964","1964","ha","13107902","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1964","1964","100 g/ha","12564","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1964","1964","t","16469226","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1965","1965","ha","14247927","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1965","1965","100 g/ha","14283","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1965","1965","t","20350793","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1966","1966","ha","13523268","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1966","1966","100 g/ha","13213","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1966","1966","t","17867924","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1967","1967","ha","14493244","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1967","1967","100 g/ha","14022","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1967","1967","t","20322328","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1968","1968","ha","15119971","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1968","1968","100 g/ha","13505","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1968","1968","t","20418801","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1969","1969","ha","15774034","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1969","1969","100 g/ha","13028","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1969","1969","t","20549860","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1970","1970","ha","16821700","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1970","1970","100 g/ha","14088","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1970","1970","t","23698316","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1971","1971","ha","17674109","A","Official figure",""
